"Отметка времени","1.    Стабильность или новшество?","2. Часто ли вы фотографируете?","3.Ведете ли вы блог?","4. За что вы готовы переплатить, покупая смартфон?","5. Статус или технологичность?","6. VPN или ""запрет""?","7.Сколько Вам лет?","8. Сколько в среднем вы готовы потратить на новый телефон?","9. Насколько вам важна возможность кастомизации интерфейса?","10.Можете ли вы поставить рингтон из файла?","11.Как вы относитесь к перепродаже своего смартфона спустя 2-3 года? ","12. Насколько Вам важна возможность настройки системы под себя? ","13. Как часто вы меняете телефон? В годах. ","14. Насколько важна актуальность и обслуживание старых версий ОС? ","15. Ваша сфера деятельности? ","16. Какого вы пола?","17. Вы ведете инстаграм? ","18. Сколько раз в день вы примерно заряжаете телефон? В ответ число","19. Что бы вы выбрали экономить и откладывать или порадовать себя? ","20. Ваша гарнитура от одного бренда? или от разных?","21. Как часто вы кушаете яблоки от 1 до 10?","22. У Вас айфон или андроид?"
"2026/09/14 8:05:47 PM GMT+3","Стабильность","Раз в неделю","Нет","Экосистема;Надежность","Технологичность","VPN","21","80000","5","Да","Плохо","Да","3","Не важна","IT","М","Нет","1","Экономить и откладывать","От одного бренда","1","Андроид"
"2026/09/14 8:05:56 PM GMT+3","Стабильность","Каждый день","Да","Статус;Камера","Статус","VPN","21","90000","6","Да","Хорошо","Да","3","Важна","Продажи","М","Да","5","Экономить и откладывать","От одного бренда","7","Айфон"
"2026/09/14 8:06:41 PM GMT+3","Новшество","Раз в неделю","Нет","Экосистема;Надежность;Мультивыбор","Статус","VPN","22","60","5","Не знаю","Хорошо","Да","3","Важна","Менеджер","М","Нет","2","Порадовать себя","От одного бренда","4","Айфон"
"2026/09/14 8:07:06 PM GMT+3","Стабильность","Раз в месяц","Нет","Надежность","Технологичность","VPN","22","50000","1","Не знаю","Плохо","Нет","7","Не важна","Студент","М","Нет","1","Экономить и откладывать","От разных брендов","10","Айфон"
"2026/09/14 8:07:09 PM GMT+3","Стабильность","Раз в неделю","Нет","Камера;Экосистема;Надежность","Технологичность","VPN","22","30000","3","Не знаю","Плохо","Нет","2.5","Важна","Тех под","М","Нет","2","Экономить и откладывать","От разных брендов","1","Андроид"
"2026/09/14 8:08:03 PM GMT+3","Новшество","Раз в неделю","Нет","Статус;Камера;Экосистема","Статус","VPN","22","70000","6","Да","Хорошо","Не знаю","5","Важна","IT","М","Нет","3","Экономить и откладывать","От одного бренда","10","Айфон"
"2026/09/14 8:08:04 PM GMT+3","Стабильность","Раз в месяц","Нет","Камера","Статус","VPN","30","50000","7","Не знаю","Хорошо","Не знаю","4","Не важна","нету","М","Нет","2","Порадовать себя","От одного бренда","2","Айфон"
"2026/09/14 8:08:10 PM GMT+3","Стабильность","Раз в неделю","Нет","Камера;Надежность","Технологичность","VPN","21","70000","4","Не знаю","Хорошо","Не знаю","5","Важна","инженер ","Ж","Да","4","Порадовать себя","От одного бренда","6","Айфон"
"2026/09/14 8:08:24 PM GMT+3","Стабильность","Раз в месяц","Нет","Надежность","Технологичность","Запрет","22","20000","8","Да","Хорошо","Не знаю","6","Важна","Медиа","М","Нет","1","Экономить и откладывать","От разных брендов","10","Андроид"
"2026/09/14 8:08:36 PM GMT+3","Стабильность","Раз в неделю","Нет","Камера;Надежность","Технологичность","VPN","23","30000","3","Не знаю","Хорошо","Нет","5","Не важна","IT","М","Да","2","Порадовать себя","От разных брендов","5","Андроид"
